rha_replacement_pct,water_binder_ratio,mean_particle_size,fineness_passing_45um_pct,cement_kg_m3,fine_aggregate,coarse_aggregate,silica_content,calcium_dioxide,rcpt_28
0.0,0.35,6.0,100.0,422.3,871.8,876.1,0.0,,
0.0,0.4,6.0,100.0,369.5,894.0,898.4,0.0,,
0.0,0.5,6.0,100.0,296.8,923.7,928.3,0.0,,
0.0,0.5,6.0,100.0,334.8,935.5,940.1,0.0,,
0.0,0.53,12.0,100.0,396.0,844.0,951.0,0.0,0.0,
0.0,0.45,63.8,,372.5333333,506.6666667,1136.266667,,,
0.0,0.5,63.8,,334.9333333,532.5333333,75.46666667,,,
0.0,0.6,63.8,,278.9333333,580.2666667,1138.133333,,,
0.0,0.5,25.0,,390.0,550.0,1391.6,0.0,0.0,1643.0
0.0,0.5,,,400.0,588.0,1240.0,0.0,0.0,
0.0,0.4,,,400.0,1164.0,916.0,0.0,,
0.0,0.46,20.0,95.0,650.0,780.0,975.0,0.0,0.0,4528.0
0.0,0.3,15.0,99.0,447.8,708.0,1153.0,0.0,0.0,
0.0,0.39,25.0,,372.5,492.58,1454.1,0.0,0.0,
0.0,0.35,12.0,,571.0,633.0,933.0,0.0,,
0.0,0.5,,100.0,400.0,400.0,800.0,0.0,0.0,
0.0,0.8,75.0,50.0,300.0,710.0,1160.0,0.0,0.0,
0.0,0.69,75.0,50.0,335.0,660.0,1178.0,0.0,0.0,
0.0,0.59,75.0,50.0,360.0,640.0,1185.0,0.0,0.0,
0.0,0.54,75.0,50.0,420.0,580.0,1170.0,0.0,0.0,
0.0,0.35,23.0,100.0,650.0,961.0,828.0,,,
0.0,0.45,23.0,100.0,650.0,961.0,828.0,,,
0.0,0.4,,,580.0,559.0,830.0,,,
0.0,0.4,,,425.0,446.0,1489.0,,,
0.0,0.45,,,425.0,446.0,1489.0,,,
0.0,0.5,,,425.0,446.0,1489.0,,,
0.0,0.55,,,425.0,446.0,1489.0,,,
0.0,0.3,12.0,,533.0,1075.0,660.0,,,
0.0,0.45,25.0,,400.0,800.0,1600.0,,,
0.0,0.5,25.0,,400.0,800.0,1600.0,,,
0.0,0.6,25.0,,400.0,800.0,1600.0,,,
0.0,0.45,,,420.0,815.0,995.0,,,
0.0,0.45,,,394.0,734.46,1146.35,,,
0.0,0.236,34.62,,500.0,990.0,875.0,0.0,0.0,
0.0,0.28,34.62,,600.0,875.0,774.3,0.0,0.0,
0.0,0.5,6.57,,380.0,755.0,685.0,0.0,0.0,1886.0
0.0,0.342,,,500.0,925.0,830.0,0.0,0.0,
0.0,0.43,,100.0,480.0,900.0,670.0,0.0,0.0,
0.0,0.5,,,350.0,960.3,795.7,0.0,0.0,4264.0
0.0,0.413,,,450.0,635.0,1151.0,0.0,0.0,1855.0
0.0,0.3,5.69,100.0,560.0,725.0,1000.0,0.0,0.0,528.67
0.0,0.52,17.0,,400.0,720.0,1476.0,0.0,0.0,2692.0
0.0,0.49,9.52,100.0,420.0,950.0,805.0,0.0,,
0.0,0.3,,,750.0,590.0,1000.0,0.0,0.0,
0.0,0.45,,,475.0,607.25,1127.75,,,
0.0,0.56,,,440.0,580.0,1115.0,0.0,0.0,
0.0,0.33,,,392.0,786.0,1062.0,0.0,,3500.0
0.0,0.31,,,410.0,786.0,1044.0,0.0,,3260.0
0.0,0.3,,,428.0,786.0,1026.0,0.0,,3000.0
0.0,0.54,5.21,100.0,350.0,680.0,1040.0,0.0,,412.126
0.0,0.46,20.0,97.0,650.0,780.0,975.0,0.0,0.0,6033.0
0.0,0.45,,100.0,476.0,595.0,1299.48,0.0,0.0,
0.0,0.39,,100.0,372.5,492.58,1454.1,0.0,0.0,
0.0,0.38,,,416.0,1070.0,775.0,0.0,0.0,
0.0,0.44,,,385.0,1070.0,775.0,0.0,0.0,
0.0,0.5,,,360.0,1070.0,775.0,0.0,0.0,
0.0,0.56,,,335.0,1070.0,775.0,0.0,0.0,
0.0,0.62,,,314.0,1070.0,775.0,0.0,0.0,
0.0,0.68,,,295.0,1070.0,775.0,0.0,0.0,
0.0,0.5,,,360.0,1070.0,775.0,0.0,0.0,
0.0,0.42,12.34,96.6,490.0,651.7,1112.3,0.0,0.0,
0.0,0.4,25.0,,382.5,482.46,1394.06,,,
0.0,0.3,,100.0,550.0,490.0,1200.0,,,1145.0
0.0,0.33,,100.0,500.0,510.0,1240.0,,,1372.0
0.0,0.36,,100.0,450.0,530.0,1280.0,,,1434.0
0.0,0.44,,100.0,350.0,560.0,1345.0,,,1391.0
1.5,0.5,,,295.5,450.0,900.0,,,
2.5,0.4,,,487.5,780.0,820.0,,,
2.5,0.4,,,438.75,796.5,846.0,,,
2.5,0.4,,,390.0,828.0,868.0,,,
2.5,0.4,,,341.25,847.0,900.0,,,
2.5,0.5,,,292.5,450.0,900.0,,,
2.5,0.45,,,384.15,734.46,1146.35,2.1875,,
2.5,0.4,,,565.5,559.0,830.0,,,
2.5,0.45,,,384.15,734.46,1146.35,,,
5.0,0.35,15.21,96.5,570.0,477.0,1113.0,4.4715,0.055,
5.0,0.36,,,275.0,249.0,759.0,,,
5.0,0.35,,,275.0,234.0,708.0,,,
5.0,0.4,,,475.0,780.0,820.0,,,
5.0,0.4,,,427.5,796.5,846.0,,,
5.0,0.4,,,380.0,828.0,868.0,,,
5.0,0.4,,,332.5,847.0,900.0,,,
5.0,0.4,,,370.5,713.0,1079.0,,,
5.0,0.45,,,289.5,620.0,1200.0,4.357,0.056,
5.0,0.4,7.0,99.0,369.0,677.0,1105.0,4.36,0.0275,
5.0,0.53,,,380.0,600.0,1200.0,4.6475,0.0265,1108.0
5.0,0.38,,,475.0,745.0,945.0,4.4935,0.0245,
5.0,0.36,,,361.0,868.0,995.0,4.4935,0.0245,
5.0,0.36,,,380.0,863.0,974.0,4.4935,0.0245,
5.0,0.43,7.0,96.0,399.0,582.0,1108.0,4.36,0.0275,770.0
5.0,0.35,7.0,96.0,447.0,585.1,1113.0,4.36,0.0275,714.0
5.0,0.43,7.0,96.0,399.0,582.0,1108.0,4.36,0.0275,915.0
5.0,0.35,7.0,96.0,447.0,585.1,1113.0,4.36,0.0275,917.0
5.0,,,,,,,4.55,0.099,
5.0,0.5,,,370.5,569.0,1164.0,4.52,,1714.0
5.0,0.4,95.0,42.0,428.0,492.0,1148.0,4.393,0.065,
5.0,0.4,5.0,97.0,428.0,492.0,1148.0,4.393,0.065,
5.0,0.53,3.8,99.0,19.0,575.0,1150.0,4.366,0.024,2196.0
5.0,0.5,,,285.0,450.0,900.0,,,
5.0,0.35,,,570.0,477.0,1113.0,3.762,0.121,
5.0,0.55,,,330.94,572.74,1189.5,3.992,0.0275,
5.0,0.53,3.8,,364.0,575.0,1150.0,4.366,0.024,2150.0
5.0,0.65,,,325.71,685.71,1371.42,4.7705,,
5.0,0.45,42.0,48.0,253.65,486.0,1537.0,4.7705,0.0,
5.0,0.5,42.0,48.0,253.65,486.0,1537.0,4.7705,0.0,
5.0,0.55,42.0,48.0,253.65,486.0,1537.0,4.7705,0.0,
5.0,0.5,,,380.0,800.0,1600.0,,,
5.0,0.4,,100.0,370.5,713.0,1079.0,,,
5.0,0.3,42.0,48.0,503.5,458.0,1302.0,4.7705,,
5.0,0.35,42.0,48.0,503.5,458.0,1302.0,4.7705,,
5.0,0.35,42.0,48.0,403.75,446.0,1419.0,4.7705,,
5.0,0.4,42.0,48.0,403.75,446.0,1419.0,4.7705,,
5.0,0.45,42.0,48.0,403.75,446.0,1419.0,4.7705,,
5.0,0.5,42.0,48.0,403.75,446.0,1419.0,4.7705,,
5.0,0.55,42.0,48.0,403.75,446.0,1419.0,4.7705,,
5.0,0.5,23.397,96.14,437.0,785.0,800.0,4.605,0.03595,
5.0,0.5,20.948,95.96,437.0,785.0,800.0,4.4655,0.04935,
5.0,0.5,15.804,95.77,437.0,785.0,800.0,4.215,0.03645,
5.0,0.42,220.0,5.0,482.6,852.0,786.6,4.207,0.0485,
5.0,0.48,220.0,5.0,421.8,902.0,800.0,4.207,0.0485,
5.0,0.53,,,353.15,868.93,995.71,4.036,0.069,
5.0,0.3,,100.0,506.67,945.68,674.02,,,
5.0,0.35,,100.0,434.28,983.15,700.73,,,
5.0,0.4,,100.0,380.0,1011.26,720.76,,,
5.0,0.5,,,397.0,906.0,1155.0,,,
5.0,0.45,,,374.3,734.46,1146.35,4.375,,
5.0,0.45,,,377.7825,698.6754,745.1945,4.349,0.07,1918.67
5.0,0.45,6.0,93.0,399.0,852.0,1108.0,4.31,0.0265,1932.0
5.0,0.35,,,434.15,695.0,1158.0,,,833.36
5.0,0.3,,,491.3,550.0,1302.0,,,728.56
5.0,0.25,,,524.4,539.0,1325.0,,,643.7
5.0,0.55,4.85,99.0,330.0,548.0,1260.0,4.366,0.024,2228.0
5.0,0.53,4.85,99.0,364.0,575.0,1150.0,4.366,0.024,2216.0
5.0,0.35,6.0,100.0,401.2,867.1,871.4,4.68,,
5.0,0.53,12.0,100.0,376.0,844.0,951.0,4.545,0.04,
5.0,0.5,25.0,,370.5,550.0,1370.6,4.409,0.03,1591.0
5.0,0.5,,,380.0,588.0,1240.0,4.316,0.1255,
5.0,0.4,,,380.0,1164.0,916.0,4.375,,
5.0,0.39,25.0,,353.875,492.58,1454.1,4.347,0.06,
5.0,0.5,,100.0,380.0,400.0,800.0,4.39,0.035,
5.0,0.4,,,551.7,559.0,830.0,,,
5.0,0.4,,,425.0,446.0,1489.0,,,
5.0,0.45,,,425.0,446.0,1489.0,,,
5.0,0.5,,,425.0,446.0,1489.0,,,
5.0,0.55,,,425.0,446.0,1489.0,,,
5.0,0.45,,,374.3,734.46,1146.35,,,
5.0,0.5,6.57,,361.0,755.0,685.0,4.125,0.031,1078.0
5.0,0.342,,,475.0,925.0,830.0,3.72,0.195,
5.0,0.3,5.69,100.0,532.0,725.0,1000.0,4.145,0.1145,478.69
5.0,0.3,,,712.5,590.0,1000.0,4.35,0.125,
5.0,0.45,,,451.25,607.25,1127.75,,,
5.0,0.56,,,418.0,580.0,1115.0,3.822,0.1765,
5.0,0.39,,100.0,353.875,492.58,1454.1,4.347,0.125,
5.0,0.5,,,342.0,1070.0,775.0,4.4035,0.052,
5.0,0.42,12.34,96.6,465.5,651.7,1112.3,4.6495,0.0515,
5.0,0.4,25.0,,363.37,482.46,1394.06,,,
7.0,0.45,,92.0,390.6,815.0,995.0,6.2727,0.0637,2611.0
7.0,0.45,,,390.6,815.0,995.0,,,
7.0,0.5,,,325.5,960.3,795.7,6.2727,0.0637,2691.0
7.5,0.4,,,462.5,780.0,820.0,,,
7.5,0.4,,,416.25,796.5,846.0,,,
7.5,0.4,,,370.0,828.0,868.0,,,
7.5,0.4,,,323.75,847.0,900.0,,,
7.5,0.5,,,277.5,450.0,900.0,,,
7.5,0.65,,,317.14,685.71,1371.42,7.15575,,
7.5,0.45,,,364.45,734.46,1146.35,6.5625,,
7.5,0.4,7.15,98.2,352.0,745.0,1140.0,7.095,0.03,1137.0
7.5,0.4,7.63,97.7,352.0,745.0,1140.0,7.0275,0.045,1466.0
7.5,0.4,7.41,97.9,352.0,745.0,1140.0,6.87,0.045,1421.0
7.5,0.4,6.8,98.4,352.0,745.0,1140.0,6.6825,0.045,987.0
7.5,0.39,25.0,,344.563,492.58,1454.1,6.5205,0.09,
7.5,0.5,,100.0,370.0,400.0,800.0,6.585,0.0525,
7.5,0.4,,,538.6,559.0,830.0,,,
7.5,0.45,,,364.45,734.46,1146.35,,,
7.5,0.3,,,693.75,590.0,1000.0,6.525,0.1875,
7.5,0.39,,100.0,344.563,492.58,1454.1,6.5205,0.1875,
7.5,0.4,25.0,,353.81,482.46,1394.06,0.0,,
8.0,0.4,7.0,99.0,360.0,682.0,1111.0,6.976,0.044,
