rha_replacement_pct,water_binder_ratio,mean_particle_size,fineness_passing_45um_pct,cement_kg_m3,fine_aggregate,coarse_aggregate,silica_content,calcium_dioxide,compressive_strength
0.0,0.36,,100.0,450.0,530.0,1280.0,0.0,0.0,67.3
0.0,0.44,,100.0,350.0,560.0,1345.0,0.0,0.0,43.4
0.0,0.5,,,300.0,450.0,900.0,,,21.04
0.0,0.35,,,600.0,477.0,1113.0,0.0,0.0,65.01
0.0,0.55,,,348.36,572.74,1189.5,0.0,0.0,
0.0,0.53,3.8,,383.0,575.0,1150.0,0.0,0.0,37.1
0.0,0.65,,,342.86,685.71,1371.42,0.0,,32.8
0.0,0.45,42.0,48.0,267.0,486.0,1537.0,0.0,0.0,25.688
0.0,0.5,42.0,48.0,267.0,486.0,1537.0,0.0,0.0,25.072
0.0,0.55,42.0,48.0,267.0,486.0,1537.0,0.0,0.0,19.864
0.0,0.5,,,400.0,800.0,1600.0,,,18.552
0.0,0.4,,100.0,390.0,713.0,1079.0,,,37.976
0.0,0.3,42.0,48.0,530.0,458.0,1302.0,0.0,,39.592
0.0,0.35,42.0,48.0,530.0,458.0,1302.0,0.0,,42.168
0.0,0.35,42.0,48.0,425.0,446.0,1419.0,0.0,,44.504
0.0,0.4,42.0,48.0,425.0,446.0,1419.0,0.0,,38.344
0.0,0.45,42.0,48.0,425.0,446.0,1419.0,0.0,,32.568
0.0,0.5,42.0,48.0,425.0,446.0,1419.0,0.0,,30.056
0.0,0.55,42.0,48.0,425.0,446.0,1419.0,0.0,,27.888
0.0,0.5,23.397,96.14,460.0,785.0,800.0,0.0,0.0,38.304
0.0,0.5,20.948,95.96,460.0,785.0,800.0,0.0,0.0,38.304
0.0,0.5,15.804,95.77,460.0,785.0,800.0,0.0,0.0,38.304
0.0,0.35,,,488.0,632.0,1076.0,0.0,0.0,
0.0,0.5,,,359.0,739.0,1055.0,0.0,0.0,
0.0,0.65,,,284.0,802.0,1043.0,0.0,0.0,
0.0,0.42,220.0,5.0,508.0,852.0,786.6,0.0,0.0,19.15
0.0,0.48,220.0,5.0,444.0,902.0,800.0,0.0,0.0,32.34
0.0,0.53,,,376.7,880.53,1009.0,0.0,0.0,27.608
0.0,0.3,,100.0,533.33,945.68,674.02,,,39.84
0.0,0.35,,100.0,457.14,983.15,700.73,,,40.56
0.0,0.4,,100.0,400.0,1011.26,720.76,,,40.56
0.0,0.5,,,418.0,906.0,1155.0,,,27.184
0.0,0.45,,,394.0,734.46,1146.35,0.0,,20.704
0.0,0.55,28.54,65.0,364.0,639.0,1148.0,0.0,0.0,43.97
0.0,0.45,,,396.7457,698.6754,745.1945,0.0,0.0,29.60678
0.0,0.45,6.0,93.0,420.0,621.0,1108.0,0.0,0.0,24.168
0.0,0.4,,,380.0,760.0,1140.0,,,53.97
0.0,0.35,,,457.0,695.0,1158.0,,,64.36
0.0,0.3,,,517.0,550.0,1302.0,,,80.5
0.0,0.25,,,552.0,539.0,1325.0,,,101.28
0.0,0.55,4.85,99.0,347.0,548.0,1260.0,0.0,0.0,25.312
0.0,0.53,4.85,99.0,383.0,575.0,1150.0,0.0,0.0,29.68
0.0,0.25,13.0,100.0,550.0,702.0,1050.0,0.0,0.0,82.528
0.0,0.55,90.0,18.0,351.0,804.0,845.0,0.0,0.0,
0.0,0.59,,,350.0,660.0,1185.0,0.0,0.0,22.96
0.0,0.32,8.0,100.0,534.0,690.0,1050.0,0.0,0.0,55.5
0.0,0.4,8.0,100.0,462.0,723.0,1018.0,0.0,0.0,42.3
0.0,0.5,8.0,100.0,408.0,758.0,983.0,0.0,0.0,32.9
0.0,0.3,6.0,100.0,492.7,842.2,846.3,0.0,,69.04
0.0,0.35,6.0,100.0,422.3,871.8,876.1,0.0,,65.56
0.0,0.4,6.0,100.0,369.5,894.0,898.4,0.0,,59.34
0.0,0.5,6.0,100.0,296.8,923.7,928.3,0.0,,42.62
0.0,0.5,6.0,100.0,334.8,935.5,940.1,0.0,,56.06
0.0,0.53,12.0,100.0,396.0,844.0,951.0,0.0,0.0,35.4
0.0,0.45,63.8,,372.5333333,506.6666667,1136.266667,,,22.0
0.0,0.5,63.8,,334.9333333,532.5333333,75.46666667,,,21.2
0.0,0.6,63.8,,278.9333333,580.2666667,1138.133333,,,20.0
0.0,0.5,25.0,,390.0,550.0,1391.6,0.0,0.0,29.12
0.0,0.5,,,400.0,588.0,1240.0,0.0,0.0,17.76
0.0,0.4,,,400.0,1164.0,916.0,0.0,,20.752
0.0,0.46,20.0,95.0,650.0,780.0,975.0,0.0,0.0,27.95
0.0,0.3,15.0,99.0,447.8,708.0,1153.0,0.0,0.0,61.0
0.0,0.39,25.0,,372.5,492.58,1454.1,0.0,0.0,33.76
0.0,0.35,12.0,,571.0,633.0,933.0,0.0,,56.0
0.0,0.5,,100.0,400.0,400.0,800.0,0.0,0.0,49.28
0.0,0.8,75.0,50.0,300.0,710.0,1160.0,0.0,0.0,26.48
0.0,0.69,75.0,50.0,335.0,660.0,1178.0,0.0,0.0,28.32
0.0,0.59,75.0,50.0,360.0,640.0,1185.0,0.0,0.0,34.8
0.0,0.54,75.0,50.0,420.0,580.0,1170.0,0.0,0.0,35.36
0.0,0.35,23.0,100.0,650.0,961.0,828.0,,,42.0
0.0,0.45,23.0,100.0,650.0,961.0,828.0,,,41.0
0.0,0.4,,,580.0,559.0,830.0,,,39.33
0.0,0.4,,,425.0,446.0,1489.0,,,38.34
0.0,0.45,,,425.0,446.0,1489.0,,,32.57
0.0,0.5,,,425.0,446.0,1489.0,,,30.06
0.0,0.55,,,425.0,446.0,1489.0,,,27.89
0.0,0.3,12.0,,533.0,1075.0,660.0,,,63.09
0.0,0.45,25.0,,400.0,800.0,1600.0,,,25.9
0.0,0.5,25.0,,400.0,800.0,1600.0,,,20.67
0.0,0.6,25.0,,400.0,800.0,1600.0,,,18.2
0.0,0.45,,,420.0,815.0,995.0,,,32.24
0.0,0.45,,,394.0,734.46,1146.35,,,20.7
0.0,0.236,34.62,,500.0,990.0,875.0,0.0,0.0,46.0
