rha_replacement_pct,water_binder_ratio,mean_particle_size,fineness_passing_45um_pct,cement_kg_m3,fine_aggregate,coarse_aggregate,silica_content,calcium_dioxide,split_tensile_strength
7.5,0.4,,,538.6,559,830,,,3.9
7.5,0.45,,,364.45,734.46,1146.35,,,3.11
7.5,0.3,,,693.75,590,1000,6.525,0.1875,14.23
7.5,0.39,,100,344.563,492.58,1454.1,6.5205,0.1875,3.45
9,0.33,,,356,786,1062,7.875,,
10,0.36,,,260,249,759,,,4.05
10,0.35,,,260,234,708,,,4.26
10,0.4,,,450,780,820,,,
10,0.4,,,405,796.5,846,,,
10,0.4,,,360,828,868,,,
10,0.4,,,315,847,900,,,
10,0.31,,,514,591,1050,,,3.45
10,0.3,,,514,592,1052,,,3.8
10,0.5,,,270,600,1200,,,3.42
10,0.4,,,351,713,1079,,,2.65
10,0.45,,,369,620,1200,8.714,0.112,2.59
10,0.45,,92,378,815,995,8.961,0.091,4.19
10,0.53,,,360,600,1200,9.295,0.053,
10,0.38,,,450,745,945,8.987,0.049,4.3
10,0.36,,,342,868,995,8.987,0.049,3.9
10,0.36,,,380,852,960,8.987,0.049,4.1
10,0.5,,,323,726,1055,9,0.045,
10,0.65,,,255,791,1043,9,0.045,
10,0.4,,85,415.12,582,1204,8.2,0.26,4.46
10,0.5,,85,332.1,608.13,1253.45,8.2,0.26,4.23
10,0.6,,85,276.7,623.79,1287.9,8.2,0.26,3.98
10,0.5,,,351,569,1164,9.04,,
10,0.3,,100,495,490,1200,8.947,0.269,
10,0.33,,100,450,510,1240,8.947,0.269,
10,0.36,,100,405,530,1280,8.947,0.269,
10,0.44,,100,315,560,1345,8.947,0.269,
10,0.5,,,270,450,900,,,
10,0.35,,,540,477,1113,7.524,0.242,6.79
10,0.55,,,313.52,572.74,1189.5,7.984,0.055,2.54
10,0.65,,,308.57,685.71,1371.42,9.541,,2.42
10,0.5,,,360,800,1600,,,3.46
10,0.4,,100,351,713,1079,,,2.65
10,0.35,,,439,614,1076,9,0.045,
10,0.5,,,323,726,1055,9,0.045,
10,0.65,,,255,791,1043,9,0.045,
10,0.53,,,330.21,857.63,982.76,8.072,0.138,4.25
10,0.3,,100,480,945.68,674.02,,,3.39
10,0.35,,100,411.42,983.15,700.73,,,3.11
10,0.4,,100,360,1011.26,720.76,,,2.26
10,0.5,,,376,906,1155,,,
10,0.45,,,354.6,734.46,1146.35,8.75,,2.62
10,0.45,,,358.8193,698.6754,745.1945,8.698,0.14,
10,0.35,,,411.3,695,1158,,,
10,0.3,,,465.6,550,1302,,,
10,0.25,,,496.8,539,1325,,,
10,0.59,,,315,660,1185,9.018,0.264,2.7
10,0.5,,,360,588,1240,8.632,0.251,
10,0.4,,,360,1164,916,8.75,,2.8
10,0.5,,100,360,400,800,8.78,0.07,
10,0.4,,,526.1,559,830,,,4.5
10,0.4,,,425,446,1489,,,3.669
10,0.45,,,425,446,1489,,,3.23
10,0.5,,,425,446,1489,,,3.389
10,0.55,,,425,446,1489,,,3.812
10,0.45,,,378,815,995,,,4.19
10,0.45,,,354.6,734.46,1146.35,,,2.83
10,0.342,,,450,925,830,7.44,0.39,6.03
10,0.29,,,500,832,830,7.44,0.39,7.09
10,0.43,,100,480,810,670,9.35,0.111,2.91
10,0.5,,,315,960.3,795.7,8.961,0.091,
10,0.413,,,405,635,1151,8.61,0.18,3.67
10,0.3,,,675,590,1000,8.7,0.25,13.65
10,0.45,,,427.5,607.25,1127.75,,,
10,0.56,,,396,580,1115,7.644,0.353,3.27
10,0.45,,100,428.4,595,1299.48,8.694,0.25,
10,0.39,,100,335.25,492.58,1454.1,8.694,0.25,2.7
10,0.38,,,374.4,1070,775,8.807,0.104,4.19
10,0.44,,,346.5,1070,775,8.807,0.104,4.08
10,0.5,,,324,1070,775,8.807,0.104,
10,0.56,,,301.5,1070,775,8.807,0.104,3.38
10,0.62,,,282.6,1070,775,8.807,0.104,2.97
10,0.68,,,265.5,1070,775,8.807,0.104,2.89
10,0.5,,,324,1070,775,8.807,0.104,3.69
10,0.3,,100,495,490,1200,,,
10,0.33,,100,450,510,1240,,,
10,0.36,,100,405,530,1280,,,
10,0.44,,100,315,560,1345,,,
12,0.31,,,356,786,1044,10.5,,
12.5,0.65,,,291.43,685.71,1371.42,11.92625,,2.25
12.5,0.39,,100,325.938,492.58,1454.1,10.8675,0.3125,2.5
15,0.36,,,255,249,759,,,3.98
15,0.35,,,255,234,708,,,4.19
15,0.4,,,331.5,713,1079,,,2.59
15,0.45,,,348.5,620,1200,13.071,0.168,2.41
15,0.45,,92,357,815,995,13.4415,0.1365,4.39
15,0.53,,,340,600,1200,13.9425,0.0795,
15,0.38,,,425,745,945,13.4805,0.0735,
15,0.36,,,323,868,995,13.4805,0.0735,
15,0.36,,,380,839,947,13.4805,0.0735,
15,0.4,,85,392.06,582,1204,12.3,0.39,4.16
15,0.5,,85,313.75,608.13,1253.45,12.3,0.39,3.91
15,0.6,,85,261.37,623.79,1287.9,12.3,0.39,3.51
15,,,,,,,13.65,0.297,
15,0.5,,,331.5,569,1164,13.56,,
15,0.3,,100,467,490,1200,13.4205,0.4035,
15,0.33,,100,425,510,1240,13.4205,0.4035,
15,0.36,,100,382,530,1280,13.4205,0.4035,
15,0.44,,100,297,560,1345,13.4205,0.4035,
15,0.35,,,510,477,1113,11.286,0.363,6.4
15,0.55,,,296.11,572.74,1189.5,11.976,0.0825,2.1
15,0.65,,,291.43,685.71,1371.42,14.3115,,2.17
15,0.5,,,340,800,1600,,,3.41
15,0.4,,100,331.5,713,1079,,,2.59
15,0.53,,,307.87,846.62,970.15,12.108,0.207,4.18
15,0.3,,100,453.34,945.68,674.02,,,3.11
15,0.35,,100,388.57,983.15,700.73,,,2.69
15,0.4,,100,340,1011.26,720.76,,,2.12
15,0.5,,,355,906,1155,,,
15,0.45,,,334.9,734.46,1146.35,13.125,,
15,0.45,,,339.8561,698.6754,745.1945,13.047,0.21,
15,0.35,,,388.45,695,1158,,,
15,0.3,,,439.9,550,1302,,,
15,0.25,,,469.2,539,1325,,,
15,0.5,,,340,588,1240,12.948,0.3765,
15,0.4,,,340,1164,916,13.125,,2.91
15,0.5,,100,340,400,800,13.17,0.105,
15,0.45,,,425,446,1489,,,3.228
15,0.5,,,425,446,1489,,,3.694
15,0.55,,,425,446,1489,,,3.834
15,0.45,,,357,815,995,,,4.39
15,0.45,,,334.9,734.46,1146.35,,,2.62
15,0.342,,,425,925,830,11.16,0.585,7
15,0.268,,,500,786,830,11.16,0.585,5.52
15,0.5,,,297.5,960.3,795.7,13.4415,0.1365,
15,0.45,,,403.75,607.25,1127.75,,,
15,0.56,,,374,580,1115,11.466,0.5295,3.51
15,0.39,,100,316.625,492.58,1454.1,13.041,0.375,2.7
15,0.5,,,306,1070,775,13.2105,0.156,3.63
15,0.3,,100,467.5,490,1200,,,
15,0.33,,100,425,510,1240,,,
15,0.36,,100,382.5,530,1280,,,
15,0.44,,100,297.5,560,1345,,,
17,0.3,,,356,786,1026,14.875,,
20,0.33,,,457,585,1040,,,3.17
20,0.32,,,457,585,1041,,,3.72
20,0.6,,,240,600,1200,,,3.02
20,0.4,,,312,713,1079,,,2.19
20,0.45,,,328,620,1200,17.428,0.224,2.23
20,0.53,,,320,600,1200,18.59,0.106,
20,0.38,,,400,745,945,17.974,0.098,
20,0.36,,,304,868,995,17.974,0.098,
20,0.36,,,380,827,933,17.974,0.098,
20,0.35,,,390,596,1076,18,0.09,
20,0.5,,,287,713,1055,18,0.09,
20,0.65,,,227,781,1043,18,0.09,
20,0.5,,,312,569,1164,18.08,,
20,0.3,,100,445,490,1200,17.894,0.538,
20,0.33,,100,400,510,1240,17.894,0.538,
20,0.36,,100,360,530,1280,17.894,0.538,
20,0.44,,100,280,560,1345,17.894,0.538,
20,0.35,,,480,477,1113,15.048,0.484,6.19
20,0.55,,,278.7,572.74,1189.5,15.968,0.11,1.97
20,0.5,,,320,800,1600,,,3.35
20,0.4,,,312,713,1079,,,2.19
20,0.35,,,390,596,1076,18,0.09,
20,0.5,,,287,713,1055,18,0.09,
20,0.65,,,227,781,1043,18,0.09,
20,0.53,,,286.08,835.89,957.85,16.144,0.276,4
20,0.3,,100,426.67,945.68,674.02,,,2.35
20,0.35,,100,365.71,983.15,700.73,,,2.12
20,0.4,,100,320,1011.26,720.76,,,1.98
20,0.59,,,280,660,1185,18.036,0.528,2.33
20,0.5,,,320,588,1240,17.264,0.502,
20,0.4,,,320,1164,916,17.5,,2.74
20,0.5,,,425,446,1489,,,3.294
20,0.55,,,425,446,1489,,,3.483
20,0.342,,,400,925,830,14.88,0.78,6.64
20,0.25,,,500,740,830,14.88,0.78,5.06
20,0.43,,100,480,720,670,18.7,0.222,2.76
20,0.45,,,380,607.25,1127.75,,,
20,0.56,,,352,580,1115,15.288,0.706,3.24
20,0.45,,100,380.8,595,1299.48,17.388,0.5,
20,0.5,,,288,1070,775,17.614,0.208,2.94
20,0.3,,100,440,490,1200,,,
20,0.33,,100,400,510,1240,,,
20,0.36,,100,360,530,1280,,,
20,0.44,,100,280,560,1345,,,
25,0.45,,,307.5,620,1200,21.785,0.28,2.02
25,0.53,,,300,600,1200,23.2375,0.1325,
25,,,,,,,22.75,0.495,
25,0.5,,,300,800,1600,,,3.28
25,0.53,,,264.85,825.43,945.83,20.18,0.345,3.85
25,0.5,,,300,588,1240,21.58,0.6275,
25,0.4,,,300,1164,916,21.875,,2.64
25,0.55,,,425,446,1489,,,3.176
25,0.342,,,375,925,830,18.6,0.975,6.09
30,0.36,,,400,578,1027,,,2.97
30,0.34,,,400,579,1029,,,3.44
30,0.45,,,287,620,1200,26.142,0.336,1.85
30,0.53,,,280,600,1200,27.885,0.159,
30,0.35,,,342,579,1076,27,0.135,
30,0.5,,,251,700,1055,27,0.135,
30,0.65,,,199,771,1043,27,0.135,
30,0.3,,100,385,490,1200,26.841,0.807,
30,0.33,,100,350,510,1240,26.841,0.807,
30,0.36,,100,315,530,1280,26.841,0.807,
30,0.5,,,280,800,1600,,,2.53
30,0.35,,,342,579,1076,27,0.135,
30,0.5,,,251,700,1055,27,0.135,
30,0.65,,,199,771,1043,27,0.135,
30,0.59,,,245,660,1185,27.054,0.792,2.16
30,0.43,,100,480,630,670,28.05,0.333,2.18
30,0.45,,100,333.2,595,1299.48,26.082,0.75,
30,0.3,,100,385,490,1200,,,
30,0.33,,100,350,510,1240,,,
30,0.36,,100,315,530,1280,,,
35,0.45,,,266.5,620,1200,30.499,0.392,1.61
